run_id,source_group,experiment_name,dataset,model_family,variant_type,backend,precision,batch_size,mode,params,train_resolution,input_resolution,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,cuda_peak_allocated_mb,input_bank,source,sample_index,notes,bank_meta_dataset,bank_meta_resolution,bank_meta_num_samples,synthetic_frontier,synthetic_from,soft_infeasible_200ms,soft_infeasible_500ms,soft_infeasible_1000ms,json_path,tegrastats_path,sample_count,ram_mb_mean,ram_mb_peak,swap_mb_peak,board_power_w_mean,board_power_w_peak,gpu_util_pct_mean,gpu_util_pct_peak,temp_gpu_c_mean,temp_gpu_c_peak,tegrastats_path_tegrastats,success,oom_flag,tag,model,status,exit_code,json_exists,stderr_path,alloc_fail_flag,success_flag,effective_input_resolution
jetson_fno_frontier:burgers_base_r4096_on_8192_eager_fp32,jetson_fno_frontier,burgers_base_r4096_on_8192_eager_fp32,burgers,unknown,frontier,eager,fp32,1.0,eager,,4096,8192,4.820147040300071,4.815591033548117,4.886200651526451,4.914714954793453,4.748533014208078,4.977948032319546,,artifacts/benchmark_inputs/burgers_r8192_bank.pt,artifacts/checkpoints/burgers_fno_base_r4096_seed0_best.pt,0.0,,burgers,8192,8.0,False,,False,False,False,results/jetson_fno_frontier/burgers_base_r4096_on_8192_eager_fp32.json,results/jetson_fno_frontier/burgers_base_r4096_on_8192_eager_fp32_tegrastats.log,46.0,1987.8478260869565,2249.0,2023.0,10.538913043478258,16.037,10.847826086956522,98.0,55.894282608695626,57.343,results/jetson_fno_frontier/burgers_base_r4096_on_8192_eager_fp32_tegrastats.log,True,False,,,,,,,,,
jetson_fno_frontier:burgers_base_r4096_on_8192_torchscript_fp32,jetson_fno_frontier,burgers_base_r4096_on_8192_torchscript_fp32,burgers,unknown,frontier,torchscript,fp32,1.0,torchscript,,4096,8192,4.167245281860232,4.037551116198301,4.430091008543968,7.166272960603237,4.01676632463932,8.260515052825212,,artifacts/benchmark_inputs/burgers_r8192_bank.pt,artifacts/torchscript/burgers_fno_base_r4096_seed0.ts,0.0,,burgers,8192,8.0,False,,False,False,False,results/jetson_fno_frontier/burgers_base_r4096_on_8192_torchscript_fp32.json,results/jetson_fno_frontier/burgers_base_r4096_on_8192_torchscript_fp32_tegrastats.log,44.0,2098.7045454545455,2266.0,2023.0,10.741568181818181,15.971,9.863636363636363,90.0,56.10331818181817,57.781,results/jetson_fno_frontier/burgers_base_r4096_on_8192_torchscript_fp32_tegrastats.log,True,False,,,,,,,,,
jetson_fno_frontier:darcy_base_r281_on_421_eager_fp32,jetson_fno_frontier,darcy_base_r281_on_421_eager_fp32,darcy,unknown,frontier,eager,fp32,1.0,eager,,281x281,421x421,84.8663833970204,83.39967275969684,94.46882037445903,95.82169400528073,82.40316063165665,96.58520622178912,,artifacts/benchmark_inputs/darcy_r421_bank.pt,artifacts/checkpoints/darcy_fno_base_r281_seed1_best.pt,0.0,,darcy,421x421,8.0,False,,False,False,False,results/jetson_fno_frontier/darcy_base_r281_on_421_eager_fp32.json,results/jetson_fno_frontier/darcy_base_r281_on_421_eager_fp32_tegrastats.log,133.0,2545.406015037594,2703.0,2023.0,18.66891729323308,22.181,72.09774436090225,99.0,59.3121428571428,61.75,results/jetson_fno_frontier/darcy_base_r281_on_421_eager_fp32_tegrastats.log,True,False,,,,,,,,,
jetson_fno_frontier:darcy_base_r281_on_421_torchscript_fp32,jetson_fno_frontier,darcy_base_r281_on_421_torchscript_fp32,darcy,unknown,frontier,torchscript,fp32,1.0,torchscript,,281x281,421x421,84.31983041577041,81.62849652580917,94.4732348434627,118.78654081374407,80.01844491809607,128.36380116641521,,artifacts/benchmark_inputs/darcy_r421_bank.pt,artifacts/torchscript/darcy_fno_base_r281_seed1.ts,0.0,,darcy,421x421,8.0,False,,False,False,False,results/jetson_fno_frontier/darcy_base_r281_on_421_torchscript_fp32.json,results/jetson_fno_frontier/darcy_base_r281_on_421_torchscript_fp32_tegrastats.log,136.0,2589.529411764706,2660.0,2020.0,18.360404411764698,22.14,70.3529411764706,99.0,61.528095588235225,63.968,results/jetson_fno_frontier/darcy_base_r281_on_421_torchscript_fp32_tegrastats.log,True,False,,,,,,,,,
jetson_fno_frontier:darcy_large_r141_on_421_eager_fp32,jetson_fno_frontier,darcy_large_r141_on_421_eager_fp32,darcy,unknown,frontier,eager,fp32,1.0,eager,,141x141,421x421,202.70557341631502,200.7477784063667,211.85931004583836,212.5103399157524,198.38199391961098,215.79252369701862,,artifacts/benchmark_inputs/darcy_r421_bank.pt,artifacts/checkpoints/darcy_fno_large_seed0_best.pt,0.0,,darcy,421x421,8.0,False,,True,False,False,results/jetson_fno_frontier/darcy_large_r141_on_421_eager_fp32.json,results/jetson_fno_frontier/darcy_large_r141_on_421_eager_fp32_tegrastats.log,285.0,3435.1649122807016,3762.0,2019.0,19.04236140350881,21.53,80.45964912280702,99.0,64.61684561403527,67.437,results/jetson_fno_frontier/darcy_large_r141_on_421_eager_fp32_tegrastats.log,True,False,,,,,,,,,
jetson_fno_frontier:darcy_large_r141_on_421_torchscript_fp32,jetson_fno_frontier,darcy_large_r141_on_421_torchscript_fp32,darcy,unknown,frontier,torchscript,fp32,1.0,torchscript,,141x141,421x421,197.18268633354455,195.37197472527623,206.76135597750545,208.69482308626175,192.705811932683,209.21887084841728,,artifacts/benchmark_inputs/darcy_r421_bank.pt,artifacts/torchscript/darcy_fno_large_seed0.ts,0.0,,darcy,421x421,8.0,False,,False,False,False,results/jetson_fno_frontier/darcy_large_r141_on_421_torchscript_fp32.json,results/jetson_fno_frontier/darcy_large_r141_on_421_torchscript_fp32_tegrastats.log,269.0,2916.4907063197024,3432.0,2015.0,19.349193308550163,21.536,82.81412639405204,99.0,68.0115464684017,70.375,results/jetson_fno_frontier/darcy_large_r141_on_421_torchscript_fp32_tegrastats.log,True,False,,,,,,,,,
jetson_fno_oom_frontier:darcy_base_r281_on_561_ts_fp32,jetson_fno_oom_frontier,darcy_base_r281_on_561_ts_fp32,darcy,unknown,oom_frontier,torchscript,fp32,1.0,torchscript,,281x281,561x561,93.36187532171607,92.79851173050702,96.29564918577671,96.29564918577671,92.36905816942453,96.98652010411024,,artifacts/benchmark_inputs/frontier_synth/darcy_r561_bank.pt,artifacts/torchscript/darcy_fno_base_r281_seed1.ts,0.0,,darcy,561x561,8.0,True,artifacts/benchmark_inputs/darcy_r421_bank.pt,False,False,False,results/jetson_fno_oom_frontier/darcy_base_r281_on_561_ts_fp32.json,results/jetson_fno_oom_frontier/darcy_base_r281_on_561_ts_fp32_tegrastats.log,64.0,3629.71875,3753.0,1467.0,13.81015625,21.853,33.390625,99.0,54.004499999999965,56.281,results/jetson_fno_oom_frontier/darcy_base_r281_on_561_ts_fp32_tegrastats.log,True,False,,,,,,,,,
jetson_fno_oom_frontier:darcy_base_r281_on_701_ts_fp32,jetson_fno_oom_frontier,darcy_base_r281_on_701_ts_fp32,darcy,unknown,oom_frontier,torchscript,fp32,1.0,torchscript,,281x281,701x701,233.56095477938652,233.61807642504573,236.83911003172398,236.83911003172398,231.272688601166,237.62473464012146,,artifacts/benchmark_inputs/frontier_synth/darcy_r701_bank.pt,artifacts/torchscript/darcy_fno_base_r281_seed1.ts,0.0,,darcy,701x701,8.0,True,artifacts/benchmark_inputs/darcy_r421_bank.pt,True,False,False,results/jetson_fno_oom_frontier/darcy_base_r281_on_701_ts_fp32.json,results/jetson_fno_oom_frontier/darcy_base_r281_on_701_ts_fp32_tegrastats.log,95.0,3686.1684210526314,3793.0,1467.0,17.027515789473686,22.301,57.49473684210526,99.0,56.105189473684156,58.718,results/jetson_fno_oom_frontier/darcy_base_r281_on_701_ts_fp32_tegrastats.log,True,False,,,,,,,,,
jetson_fno_oom_frontier:darcy_base_r281_on_841_ts_fp32,jetson_fno_oom_frontier,darcy_base_r281_on_841_ts_fp32,darcy,unknown,oom_frontier,torchscript,fp32,1.0,torchscript,,281x281,841x841,223.26016309671104,222.14722447097301,226.59224970266223,226.59224970266223,221.33361408486962,226.64988366886973,,artifacts/benchmark_inputs/frontier_synth/darcy_r841_bank.pt,artifacts/torchscript/darcy_fno_base_r281_seed1.ts,0.0,,darcy,841x841,8.0,True,artifacts/benchmark_inputs/darcy_r421_bank.pt,True,False,False,results/jetson_fno_oom_frontier/darcy_base_r281_on_841_ts_fp32.json,results/jetson_fno_oom_frontier/darcy_base_r281_on_841_ts_fp32_tegrastats.log,93.0,3941.1720430107525,4170.0,1467.0,16.512473118279566,21.692,57.29032258064516,99.0,57.240537634408554,59.156,results/jetson_fno_oom_frontier/darcy_base_r281_on_841_ts_fp32_tegrastats.log,True,False,,,,,,,,,
jetson_fno_oom_frontier:darcy_base_r281_on_981_ts_fp32,jetson_fno_oom_frontier,darcy_base_r281_on_981_ts_fp32,darcy,unknown,oom_frontier,torchscript,fp32,1.0,torchscript,,281x281,981x981,273.57363370247185,272.6091912481934,277.6371482759714,277.6371482759714,271.8214690685272,278.9179561659694,,artifacts/benchmark_inputs/frontier_synth/darcy_r981_bank.pt,artifacts/torchscript/darcy_fno_base_r281_seed1.ts,0.0,,darcy,981x981,8.0,True,artifacts/benchmark_inputs/darcy_r421_bank.pt,True,False,False,results/jetson_fno_oom_frontier/darcy_base_r281_on_981_ts_fp32.json,results/jetson_fno_oom_frontier/darcy_base_r281_on_981_ts_fp32_tegrastats.log,107.0,4255.691588785046,4576.0,1467.0,17.07076635514019,21.813,61.88785046728972,99.0,58.72426168224294,60.906,results/jetson_fno_oom_frontier/darcy_base_r281_on_981_ts_fp32_tegrastats.log,True,False,,,,,,,,,
