experiment_name,task,model_group,resolution,params,selected_seed,heldout_or_best_available_metric,metric_source_key,metric_source_file,status,note
burgers_fno_small_seed2,Burgers,small,2048,72033,2,0.0013578114,test_rel_l2_mean,artifacts/summaries/burgers_fno_small_seed2_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
burgers_fno_base_seed3,Burgers,base,2048,235537,3,0.00089457165,test_rel_l2_mean,artifacts/summaries/burgers_fno_base_seed3_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
burgers_fno_large_seed0,Burgers,large,2048,820033,0,0.00096389593,test_rel_l2_mean,artifacts/summaries/burgers_fno_large_seed0_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
darcy_fno_small_seed4,Darcy,small,141x141,667713,4,0.016044319,test_rel_l2_mean,artifacts/summaries/darcy_fno_small_seed4_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
darcy_fno_base_seed0,Darcy,base,141x141,3287553,0,0.01500342,test_rel_l2_mean,artifacts/summaries/darcy_fno_base_seed0_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
darcy_fno_large_seed0,Darcy,large,141x141,28345217,0,0.012372276,test_rel_l2_mean,artifacts/summaries/darcy_fno_large_seed0_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
burgers_fno_base_r512_seed2,Burgers,base_r512,512,235537,2,0.0091015017,test_rel_l2_mean,artifacts/summaries/burgers_fno_base_r512_seed2_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
burgers_fno_base_r1024_seed0,Burgers,base_r1024,1024,235537,0,0.0010721973,test_rel_l2_mean,artifacts/summaries/burgers_fno_base_r1024_seed0_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
burgers_fno_base_r2048_seed2,Burgers,base_r2048,2048,235537,2,0.000847177,test_rel_l2_mean,artifacts/summaries/burgers_fno_base_r2048_seed2_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
burgers_fno_base_r4096_seed0,Burgers,base_r4096,4096,235537,0,0.00068780757,test_rel_l2_mean,artifacts/summaries/burgers_fno_base_r4096_seed0_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
burgers_fno_base_r8192_seed1,Burgers,base_r8192,8192,235537,1,0.00060806127,test_rel_l2_mean,artifacts/summaries/burgers_fno_base_r8192_seed1_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
darcy_fno_base_r85_seed2,Darcy,base_r85,85x85,3287553,2,0.015723158,test_rel_l2_mean,artifacts/summaries/darcy_fno_base_r85_seed2_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
darcy_fno_base_r141_seed0,Darcy,base_r141,141x141,3287553,0,0.015022321,test_rel_l2_mean,artifacts/summaries/darcy_fno_base_r141_seed0_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
darcy_fno_base_r211_seed1,Darcy,base_r211,211x211,3287553,1,0.014317393,test_rel_l2_mean,artifacts/summaries/darcy_fno_base_r211_seed1_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
darcy_fno_base_r281_seed1,Darcy,base_r281,281x281,3287553,1,0.013365725,test_rel_l2_mean,artifacts/summaries/darcy_fno_base_r281_seed1_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
darcy_fno_base_r421_seed1,Darcy,base_r421,421x421,3287553,1,0.013307602,test_rel_l2_mean,artifacts/summaries/darcy_fno_base_r421_seed1_summary.json,FOUND,Use as held-out relative L2 only if metric_source_key is a decoded-space test relative L2 key.
