experiment_name,backend,precision,result_tag
burgers_deeponet_base,torchscript,fp32_strict,burgers_deeponet_base_torchscript_fp32_strict_120s
burgers_deeponet_base,torchscript,tf32,burgers_deeponet_base_torchscript_tf32_120s
burgers_deeponet_base,torchscript,bf16_autocast,burgers_deeponet_base_torchscript_bf16_autocast_120s
burgers_deeponet_base,torchscript,fp16_autocast,burgers_deeponet_base_torchscript_fp16_autocast_120s
burgers_deeponet_base,torchscript,fp16_native,burgers_deeponet_base_torchscript_fp16_native_120s
darcy_deeponet_base,torchscript,fp32_strict,darcy_deeponet_base_torchscript_fp32_strict_120s
darcy_deeponet_base,torchscript,tf32,darcy_deeponet_base_torchscript_tf32_120s
darcy_deeponet_base,torchscript,bf16_autocast,darcy_deeponet_base_torchscript_bf16_autocast_120s
darcy_deeponet_base,torchscript,fp16_autocast,darcy_deeponet_base_torchscript_fp16_autocast_120s
darcy_deeponet_base,torchscript,fp16_native,darcy_deeponet_base_torchscript_fp16_native_120s
darcy_deeponet_base_r281,torchscript,fp32_strict,darcy_deeponet_base_r281_torchscript_fp32_strict_120s
darcy_deeponet_base_r281,torchscript,tf32,darcy_deeponet_base_r281_torchscript_tf32_120s
darcy_deeponet_base_r281,torchscript,bf16_autocast,darcy_deeponet_base_r281_torchscript_bf16_autocast_120s
darcy_deeponet_base_r281,torchscript,fp16_autocast,darcy_deeponet_base_r281_torchscript_fp16_autocast_120s
darcy_deeponet_base_r281,torchscript,fp16_native,darcy_deeponet_base_r281_torchscript_fp16_native_120s
darcy_deeponet_large,torchscript,fp32_strict,darcy_deeponet_large_torchscript_fp32_strict_120s
darcy_deeponet_large,torchscript,tf32,darcy_deeponet_large_torchscript_tf32_120s
darcy_deeponet_large,torchscript,bf16_autocast,darcy_deeponet_large_torchscript_bf16_autocast_120s
darcy_deeponet_large,torchscript,fp16_autocast,darcy_deeponet_large_torchscript_fp16_autocast_120s
darcy_deeponet_large,torchscript,fp16_native,darcy_deeponet_large_torchscript_fp16_native_120s
